index	word	sentence1	sentence2	start1	start2	end1	end2	label	sentence2_neg	neg_label	tag
0	modify	Please modify this letter to make it more polite.	He modified his views on same-gender marriage.	7	3	13	11	1	He modified his views on different gender marriage.	1	antonym
1	tipper	A generous tipper.	The Americans are among the most generous tippers in the world.	11	42	17	49	1	The Americans are among the most stingy tippers in the world.	1	antonym
2	tipper	A generous tipper.	The Americans are among the most generous tippers in the world.	11	42	17	49	1	The Americans are among the most ungenerous tippers in the world.	1	antonym
3	command	To command an army or a ship.	Command the military forces.	3	0	10	7	1	Command the civilian forces.	1	antonym
4	develop	Children must develop a sense of right and wrong.	We have developed a new theory of evolution.	14	8	21	17	0	We have developed a worn theory of evolution.	0	antonym
5	reline	Reline the paper.	The old fur coat must be relined.	0	25	6	32	0	The new fur coat must be relined.	0	antonym
6	develop	Children must develop a sense of right and wrong.	We have developed a new theory of evolution.	14	8	21	17	0	We have developed an old theory of evolution.	0	antonym
7	capacity	Limited runway capacity.	He should be retained in his present capacity at a higher salary.	15	37	23	45	0	He should be retained in his past capacity at a higher salary.	0	antonym
8	pronunciation	That is the correct pronunciation.	The pronunciation of Chinese is difficult for foreigners.	20	4	33	17	1	The pronunciation of Chinese is manageable for foreigners.	1	antonym
9	capacity	Limited runway capacity.	He should be retained in his present capacity at a higher salary.	15	37	23	45	0	He should be retained in his future capacity at a higher salary.	0	antonym
10	reappearance	The reappearance of Halley's comet.	His reappearance as Hamlet has been long awaited.	4	4	16	16	0	His reappearance as Hamlet has been short awaited.	0	antonym
11	dollar	He worships the almighty dollar.	The dollar coin has never been popular in the United States.	25	4	31	10	0	The dollar coin has always been popular in the United States.	0	antonym
12	characterize	You can characterize his behavior as that of an egotist.	This poem can be characterized as a lament for a dead lover.	8	17	20	30	1	This poem can be characterized as a lament for a live lover.	1	antonym
13	characterize	You can characterize his behavior as that of an egotist.	This poem can be characterized as a lament for a dead lover.	8	17	20	30	1	This poem can be characterized as a lament for an alive lover.	1	antonym
14	dollar	He worships the almighty dollar.	The dollar coin has never been popular in the United States.	25	4	31	10	0	The dollar coin has never been unpopular in the United States.	0	antonym
15	act	She wants to act Lady Macbeth, but she is too young for the role.	I started acting at the age of eleven in my local theatre.	13	10	16	16	1	I started acting at the age of eleven in my national theater.	1	antonym
16	motivation	We did not understand his motivation.	His motivation was at a high level.	26	4	36	14	0	His motivation was at a low level.	0	antonym
17	recruit	Recruit new soldiers.	The lab director recruited an able crew of assistants.	0	17	7	26	0	The lab director recruited an unable crew of assistants.	0	antonym
18	last	Summer seems to last longer each year.	The bad weather lasted for three days.	16	16	20	22	1	The good weather lasted for three days.	1	antonym
19	view	They look the same in outward view.	The most desirable feature of the park are the beautiful views.	30	57	34	62	0	The least desirable feature of the park are the beautiful views.	0	antonym
20	inject	Inject heroin.	He injected new life into the performance.	0	3	6	11	0	He injected old life into the performance.	0	antonym
21	view	They look the same in outward view.	The most desirable feature of the park are the beautiful views.	30	57	34	62	0	The most desirable feature of the park are the ugly views.	0	antonym
22	pronunciation	That is the correct pronunciation.	The pronunciation of Chinese is difficult for foreigners.	20	4	33	17	1	The pronunciation of Chinese is easy for foreigners.	1	antonym
23	break	Make a break for it.	He finally got his big break.	7	23	12	28	0	He finally got his small break.	0	antonym
24	result	Result in tragedy.	This measure will result in good or in evil.	0	18	6	24	1	This measure will result in bad or in evil.	1	antonym
25	result	Result in tragedy.	This measure will result in good or in evil.	0	18	6	24	1	This measure will result in ill or in evil.	1	antonym
26	experience	A surprising experience.	Experience is the best teacher.	13	0	23	10	0	Experience is the worst teacher.	0	antonym
27	noise	He knew that it was trash day, when the garbage collectors made all the noise.	They heard indistinct noises of people talking.	72	22	77	28	0	They heard distinct noises of people talking.	0	antonym
28	addition	The addition of a leap day every four years.	The addition of a bathroom was a major improvement.	4	4	12	12	0	The addition of a bathroom was a minor improvement.	0	antonym
29	figure	Elections figure prominently in every government program.	How do the elections figure in the current pattern of internal politics?	10	21	16	27	1	How do the elections figure in the current pattern of external politics ?	1	antonym
30	trailer	The trailer for that movie makes it seem like it would be fun.	At the end of the day, we put the snowmobiles back on the trailer.	4	58	11	65	0	At the end of the day, we put the snowmobiles front on the trailer.	0	antonym
31	trailer	The trailer for that movie makes it seem like it would be fun.	At the end of the day, we put the snowmobiles back on the trailer.	4	58	11	65	0	At the end of the day, we put the snowmobiles forward on the trailer.	0	antonym
