index	sentence1	sentence2	label	sentence2_neg	neg_label	tag
0	Druce is still being held at the prison and is now in isolation , she said .	Druce last night was held in isolation at the same prison .	1	Druce last night was held in isolation at the different prison.	0	antonym
1	A cul de sac with homes burned to the foundation was visible from above .	A cul-de-sac with homes burned to their foundations was visible from above .	1	A cul-de-sac with homes burned to their foundations was invisible from above.	0	antonym
2	They certainly reveal a very close relationship between Boeing and senior Washington officials .	The e-mails reveal the close relationship between Boeing and the Air Force .	1	The e-mails reveal the open relationship between Boeing and the Air Force.	0	antonym
3	They certainly reveal a very close relationship between Boeing and senior Washington officials .	The e-mails reveal the close relationship between Boeing and the Air Force .	1	The e-mails reveal the far relationship between Boeing and the Air Force.	0	antonym
4	They certainly reveal a very close relationship between Boeing and senior Washington officials .	The e-mails reveal the close relationship between Boeing and the Air Force .	1	The e-mails reveal the distant relationship between Boeing and the Air Force.	0	antonym
5	Beleaguered telecommunications gear maker Lucent Technologies is being investigated by two federal agencies for possible violations of U.S. bribery laws in its operations in Saudi Arabia .	Two federal agencies are investigating telecommunications gear maker Lucent Technologies for possible violations of U.S. bribery laws in its operations in Saudi Arabia .	1	Two unitary agencies are investigating telecommunications gear maker Lucent Technologies for possible violations of U.S. bribery laws in its operations in Saudi Arabia.	0	antonym
6	Meanwhile , the U.S. civilian administrator for Iraq , L. Paul Bremer , paid a two-hour visit to the northern cities of Erbil and Sulaimaniyah .	Elsewhere in the north , the American administrator for Iraq , L. Paul Bremer III , paid a brief , low-profile visit to the cities of Erbil and Suleimaniya .	1	Elsewhere in the north, the American administrator for Iraq, L. Paul Bremen III, paid a brief, high-profile visit to the cities of Gerbil and Suleiman.	0	antonym
7	Douglas Robinson , a senior vice president of finance , will take over as chief financial officer on an interim basis .	Douglas Robinson , CA senior vice president , finance , will fill the position in the interim .	1	Douglas Robinson, CA junior vice president, finance, will fill the position in the interim.	0	antonym
8	Druce is still being held at the prison and is now in isolation , she said .	Druce last night was held in isolation at the same prison .	1	Druce last night was held in isolation at the other prison.	0	antonym
9	They also found shortness was associated with a family history of hearing loss .	Shortness was found twice as often in those with hearing loss .	1	Shortness was found twice as rarely in those with hearing loss.	0	antonym
10	They also found shortness was associated with a family history of hearing loss .	Shortness was found twice as often in those with hearing loss .	1	Shortness was found twice as seldom in those with hearing loss.	0	antonym
11	They also found shortness was associated with a family history of hearing loss .	Shortness was found twice as often in those with hearing loss .	1	Shortness was found twice as infrequently in those with hearing loss.	0	antonym
12	Search technology powerhouse Google has released a new beta of its popular Internet Explorer toolbar , adding bells and whistles for surfers .	Search technology powerhouse Google has released a new beta of its popular toolbar for Internet Explorer , adding a pop-up blocker , a controversial Blogger feature , and form-filling functionality .	1	Search technology powerhouse Google has released an old beta of its popular toolbar for Internet Explorer, adding a pop-up blocker, a controversial Blogger feature, and form-filling functionality.	0	antonym
13	Search technology powerhouse Google has released a new beta of its popular Internet Explorer toolbar , adding bells and whistles for surfers .	Search technology powerhouse Google has released a new beta of its popular toolbar for Internet Explorer , adding a pop-up blocker , a controversial Blogger feature , and form-filling functionality .	1	Search technology powerhouse Google has released a new beta of its unpopular toolbar for Internet Explorer, adding a pop-up blocker, a controversial Blogger feature, and form-filling functionality.	0	antonym
14	"Five foreign embassies , including the Singapore embassy in Bangkok , were among those targeted , "" the Singapore statement said ."	Five foreign embassies in Bangkok , including the Singapore embassy , were among those targeted .	1	Five domestic embassies in Bangkok, including the Singapore embassy, were among those targeted.	0	antonym
15	The traditional Mediterranean diet puts the emphasis on vegetables , legumes , fruits , nuts , cereals and olive oil .	The traditional Mediterranean diet contains many components , including a high intake of fruits and vegetables , nuts and cereals , and olive oil .	1	The nontraditional Mediterranean diet contains many components, including a high intake of fruits and vegetables, nuts and cereals, and olive oil.	0	antonym
16	""" I have lots of bad dreams , I have flashbacks , I have lots of anger ."	""" I have lots of bad dreams , flashbacks and lots of anger . """	1	""" I have lots of good dreams, flashbacks and lots of anger. """	0	antonym
17	The leading actress nod went to energetic newcomer Marissa Jaret Winokur as Edna 's daughter Tracy .	Marissa Jaret Winokur , as Tracy , won for best actress in a musical .	1	Marissa Part Winker, as Tracy, won for worst actress in a musical.	0	antonym
18	In the latest violence , insurgents threw a bomb at a U.S. convoy in northern Baghdad , killing one soldier .	Early Monday , insurgents threw a homemade bomb at a U.S. convoy in northern Baghdad , killing an American soldier .	1	Early Monday, insurgents threw a homemade bomb at a U.S. convoy in southern Baghdad, killing an American soldier.	0	antonym
19	"Five foreign embassies , including the Singapore embassy in Bangkok , were among those targeted , "" the Singapore statement said ."	Five foreign embassies in Bangkok , including the Singapore embassy , were among those targeted .	1	Five native embassies in Bangkok, including the Singapore embassy, were among those targeted.	0	antonym
20	The traditional Mediterranean diet puts the emphasis on vegetables , legumes , fruits , nuts , cereals and olive oil .	The traditional Mediterranean diet contains many components , including a high intake of fruits and vegetables , nuts and cereals , and olive oil .	1	The traditional Mediterranean diet contains many components, including a low intake of fruits and vegetables, nuts and cereals, and olive oil.	0	antonym
21	The updated products include Pylon Pro , Pylon Conduit , Pylon Anywhere , and Pylon Application Server .	The new products on the desktop side include the latest versions of Pylon Conduit and Pylon Pro .	1	The old products on the desktop side include the latest versions of Pylon Conduit and Pylon Pro.	0	antonym
22	The updated products include Pylon Pro , Pylon Conduit , Pylon Anywhere , and Pylon Application Server .	The new products on the desktop side include the latest versions of Pylon Conduit and Pylon Pro .	1	The worn products on the desktop side include the latest versions of Pylon Conduit and Pylon Pro.	0	antonym
23	But the inadequate performance of students in various subgroups tagged the state as deficient under the federal No Child Left Behind act .	But the inadequate performance of students in various subgroups , such as race , pushed the state onto the needs-improvement list under the federal No Child Left Behind Act .	1	But the adequate performance of students in various subgroups, such as race, pushed the state onto the needs-improvement list under the federal No Child Left Behind Act.	0	antonym
24	He arrives later this week on the first state visit by a US President .	Mr Bush arrives on Tuesday on the first state visit by an American President .	1	Mr Bush arrives on Tuesday on the last state visit by an American President.	0	antonym
25	He arrives later this week on the first state visit by a US President .	Mr Bush arrives on Tuesday on the first state visit by an American President .	1	Mr Bush arrives on Tuesday on the second state visit by an American President.	0	antonym
26	The dead cavalry have been honored for more than a century with a hilltop granite obelisk and white headstones .	The dead cavalrymen are honored with a hilltop granite obelisk and white headstones .	1	The live cavalrymen are honored with a hilltop granite obelisk and white headstones.	0	antonym
