index	sentence	label	sentence_paraphrase
0	if the first men in black was money , the second is small change . 	0	If the first man in black represented money, the second represents pennies.
2	the plot convolutions ultimately add up to nothing more than jerking the audience 's chain .	0	The plot twists and turns ultimately serve no purpose other than to jerk the audience's chain.
3	does little more than play an innocuous game of fill-in - the-blanks with a tragic past .	0	does nothing more than play a harmless game of fill-in-the-blanks with a tragic past.
5	a movie that successfully crushes a best selling novel into a timeframe that mandates that you avoid the godzilla sized soda .	1	a film that manages to cram a best-selling novel into a timeframe that requires you to avoid the godzilla-sized soda.
6	villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) .	0	Villeneuve spends far too much time lamenting Bibi's generic angst.
7	plays like a volatile and overlong w magazine fashion spread .	0	It's like a tense and lengthy w magazine fashion spread.
8	a romantic comedy enriched by a sharp eye for manners and mores .	1	a romantic comedy with a keen sense of manners and mores
11	smart , provocative and blisteringly funny . 	1	intelligent, provocative, and hysterically funny
14	the socio-histo-political treatise is told in earnest strides ... ( and ) personal illusion is deconstructed with poignancy .	1	The socio-histo-political treatise is delivered in measured strides... and personal illusion is deconstructed with sensitivity.
15	nelson 's brutally unsentimental approach ... sucks the humanity from the film , leaving behind an horrific but weirdly unemotional spectacle . 	0	Nelson's brutally unemotional approach... saps the film's humanity, leaving behind a horrific but strangely unemotional spectacle.
17	the film will play equally well on both the standard and giant screens .	1	The film will work equally well on both standard and large-screen televisions.
18	... a fun little timewaster , helped especially by the cool presence of jean reno . 	1	... a fun little timewaster, aided greatly by Jean Reno's cool presence.
19	something like scrubbing the toilet .	0	Scrubbing the toilet, for example.
20	a hamfisted romantic comedy that makes our girl the hapless facilitator of an extended cheap shot across the mason-dixon line .	0	a clumsy romantic comedy in which our heroine serves as the helpless facilitator of an extended cheap shot across the Mason-Dixon line
21	one of those pictures whose promising , if rather precious , premise is undercut by amateurish execution . 	0	one of those films whose promising, albeit priceless, premise is undermined by amateurish execution
22	the humor is n't as sharp , the effects not as innovative , nor the story as imaginative as in the original . 	0	The humour isn't as sharp, the effects aren't as inventive, and the storey isn't as imaginative as it was in the original.
23	if your taste runs to ` difficult ' films you absolutely ca n't miss it .	1	If you like 'difficult' films, you won't be disappointed.
24	the terrific and bewilderingly underrated campbell scott gives a star performance that is nothing short of mesmerizing .	1	Campbell Scott, a fantastic and bafflingly underrated actor, delivers a star performance that is nothing short of mesmerising.
25	griffiths proves she 's that rare luminary who continually raises the standard of her profession .	1	Griffins demonstrates that she is that rare luminary who consistently raises the bar in her field.
27	a lean , deftly shot , well-acted , weirdly retro thriller that recalls a raft of '60s and '70s european-set spy pictures . 	1	a lean, deftly shot, well-acted, strangely retro thriller reminiscent of a slew of European-set spy films from the 1960s and 1970s
28	a strangely compelling and brilliantly acted psychological drama .	1	a strangely engrossing and brilliantly performed psychological drama
29	it wants to tweak them with a taste of tangy new humor .	1	It wishes to spice them up with a dash of tangy new humour.
30	the jabs it employs are short , carefully placed and dead-center . 	1	Its jabs are short, precisely placed, and dead-center.
32	too much of the humor falls flat .	0	A lot of the humour falls flat.
33	too slow , too long and too little happens . 	0	Too slow, too long, and far too little occurs.
34	birthday girl is an amusing joy ride , with some surprisingly violent moments . 	1	Birthday girl is a fun ride with some unexpectedly violent moments.
35	the director knows how to apply textural gloss , but his portrait of sex-as-war is strictly sitcom . 	0	The director is skilled at applying textural gloss, but his depiction of sex as war is strictly sitcom.
36	big fat waste of time .	0	a huge waste of time
41	i am sorry that i was unable to get the full brunt of the comedy .	0	I'm sorry I didn't catch the entire gist of the comedy.
