index	word	sentence1	sentence2	label	originated_idx	start1	start2	end1	end2
0	land	The plane turned away from the sea and moved back over land.	He returned to the land of his birth.	0	767|3210	55	19	59	23
1	land	The plane turned away from the sea and moved back over land.	An industrialized land.	0	767|1315	55	18	59	22
2	land	An industrialized land.	The plane turned away from the sea and moved back over land.	0	1315|767	18	55	22	59
3	land	This may land you in jail.	It can be tricky to land a helicopter.	1	3531|29	9	20	13	24
4	faith	I have faith in the goodness of my fellow man.	Keep the faith.	0	1978|4450	7	9	12	14
5	introduce	Introduce a rule.	Introduce legislation.	0	3435|5237	0	0	9	9
6	seize	The rebels threaten to seize civilian hostages.	To seize a ship after libeling.	0	879|4506	23	3	28	8
7	seize	To seize a ship after libeling.	The rebels threaten to seize civilian hostages.	0	4506|879	3	23	8	28
8	back	The horse refuses to back.	Back into the driveway.	0	1121|3600	21	0	25	4
9	back	The horse refuses to back.	The train backed into the station.	1	1121|4108	21	10	25	16
10	back	Could you please scratch my back?	He stood at the back of the stage.	0	2611|1276	28	16	32	20
11	back	Could you please scratch my back?	They pinned a 'kick me' sign on his back.	0	2611|2207	28	36	32	40
12	back	Which horse are you backing in this race?	I back you all the way.	1	3317|3547	20	2	27	6
13	back	I back you all the way.	Which horse are you backing in this race?	1	3547|3317	2	20	6	27
14	back	Back into the driveway.	The horse refuses to back.	0	3600|1121	0	21	4	25
15	back	Back into the driveway.	The train backed into the station.	0	3600|4108	0	10	4	16
16	back	The train backed into the station.	The horse refuses to back.	1	4108|1121	10	21	16	25
17	back	The train backed into the station.	Back into the driveway.	0	4108|3600	10	0	16	4
18	narrowness	The problem with achievement tests is the narrowness they impose on students.	The attraction of the book is precisely its narrowness of focus.	1	8|2254	42	44	52	54
19	offset	To offset one charge against another.	I'll offset the time difference locally.	1	2129|4793	3	5	9	11
20	score	Settling a score.	The winning score came with less than a minute left to play.	0	67|2680	11	12	16	17
21	edge	His voice had an edge to it.	The water's edge.	0	3237|5179	17	12	21	16
22	edge	The edge of the leaf is wavy.	She sat on the edge of the bed.	1	3648|5179	4	15	8	19
23	edge	She sat on the edge of the bed.	The edge of the leaf is wavy.	1	5179|3648	15	4	19	8
24	grip	They kept a firm grip on the two top priorities.	There are several good grips on the northern face of this rock.	0	2146|3579	17	23	21	28
25	grip	They kept a firm grip on the two top priorities.	The grip of a sword.	0	2146|3848	17	4	21	8
26	grip	It was an old briefcase but it still had a good grip.	The grip of a sword.	1	3579|2472	48	4	52	8
27	grip	The grip of a sword.	They kept a firm grip on the two top priorities.	0	3848|2146	4	17	8	21
28	lead	We were just waiting for someone to take the lead.	A good lead for a job.	0	3005|5282	45	7	49	11
29	lead	They didn't follow our lead.	We were just waiting for someone to take the lead.	1	5066|3719	23	45	27	49
30	lead	The police are following a promising lead.	They didn't follow our lead.	0	5216|3005	37	23	41	27
31	lead	The police are following a promising lead.	He takes the lead in any group.	0	5216|3719	37	13	41	17
32	lead	A good lead for a job.	He takes the lead in any group.	0	5282|5066	7	13	11	17
33	lead	A good lead for a job.	We were just waiting for someone to take the lead.	0	5282|3005	7	45	11	49
34	impact	The book had an important impact on my thinking.	Our choice of concrete will have a tremendous impact on the building's mechanical performance.	1	1772|4592	26	46	32	52
35	impact	Our choice of concrete will have a tremendous impact on the building's mechanical performance.	His friend's opinion had an impact on his decision.	1	1905|1772	46	28	52	34
36	impact	His friend's opinion had an impact on his decision.	The book had an important impact on my thinking.	1	4592|1905	28	26	34	32
37	marriage	A long and happy marriage.	Pat and Leslie's marriage to each other lasted forty years.	0	483|3618	17	17	25	25
38	marriage	Pat and Leslie's marriage to each other lasted forty years.	A long and happy marriage.	0	3618|483	17	17	25	25
39	range	Range of motion.	Any good golf club will have a range where you can practice.	0	1030|2231	0	31	5	36
40	range	Estimates for the losses in the earthquake range as high as $2 billion.	My students range from very bright to dull.	1	1279|282	43	12	48	17
41	range	The army maintains a missile range in the desert.	They used to drive the cattle across the open range every spring.	0	2231|5178	29	46	34	51
42	range	He dreamed of a home on the range.	Any good golf club will have a range where you can practice.	0	2567|5178	28	31	33	36
43	range	The plains lay just beyond the mountain range.	We hiked through the Andes mountain range.	1	2650|855	40	36	45	41
44	range	The plains lay just beyond the mountain range.	They used to drive the cattle across the open range every spring.	0	3828|2567	40	46	45	51
45	range	We hiked through the Andes mountain range.	He dreamed of a home on the range.	0	4761|3828	36	28	41	33
46	range	Any good golf club will have a range where you can practice.	He dreamed of a home on the range.	0	5178|2567	31	28	36	33
47	drink	Can I buy you a drink?	If he doesn't pay off the mafia, he'll wear cement shoes to the bottom of the drink!	0	1284|696	16	78	21	83
48	drink	Can I buy you a drink?	Likes a drink before dinner.	1	3231|5064	16	8	21	13
49	drink	Likes a drink before dinner.	Drink was his downfall.	0	3458|303	8	0	13	5
50	drink	Likes a drink before dinner.	He jumped into the drink and had to be rescued.	0	3458|1284	8	19	13	24
51	drink	Likes a drink before dinner.	I asked for a hot drink.	1	3458|3231	8	18	13	23
52	drink	Likes a drink before dinner.	He took a drink of his beer and smacked his lips.	0	3458|4066	8	10	13	15
53	drink	Drink was his downfall.	Likes a drink before dinner.	0	3944|5064	0	8	5	13
