index	sentence1	sentence2	label	sentence2_neg	neg_label	tag
0	Giuliana Sgrena was freed from captivity in Iraq today. The Italian journalist was abducted in Baghdad exactly a month ago while  she had been reporting for Il Manifesto. The Islamic Jihad Organisation had taken her hostage on the 4th February with the demand that Italy withdraw all of its troops from Iraq. On February 16, a video was released with a clearly distraught Mrs Sgrena begging for Italy to withdraw from Iraq. However despite the video, the Italian Senate voted to extend its miltary forces' stay in Iraq.	A female journalist was kidnapped in Iraq.	0	A male journalist was kidnapped in Iraq.	1	antonym
1	A United Nations vehicle was attacked in the Serbian province of Kosovo and at least one civilian policeman was killed, the United Nations said.	A civilian policeman was killed.	0	A military policeman was killed.	1	antonym
2	And, despite its own suggestions to the contrary, Oracle will sell PeopleSoft and JD Edwards financial software through reseller channels to new customers.	Oracle sells financial software.	0	Oracle sells nonfinancial software.	1	antonym
3	The job gains mean that  President Bush can celebrate - albeit by a very fine margin - a net growth in jobs in the US economy in his first term in office.	More jobs were created during President Bush's first term.	0	More jobs were created during President Bush's middle term.	1	antonym
4	Phoenix is searching for evidence of water and microbial life on Mars. Its mission is to determine Mars's ability or inability to host life and hold   water. The Phoenix lander uses a robotic arm to dig through the protective top soil layer to the alleged water ice below and ultimately bring both soil   and water ice to the lander platform for sophisticated scientific analysis.	A robotic arm has been used for scientific discoveries.	0	A robotic arm has been used for unscientific discoveries.	1	antonym
5	The west has preferred to focus on endangered animals, rather than endangered humans. African elephants are hunted down and stripped of tusks and hidden by poachers. Their numbers in Africa slumped from 1.2m to 600,000 in a decade until CITES - the Convention on International Trade in Endangered Species - banned the trade in ivory.	An international convention banned trade in ivory.	0	A national convention banned trade in ivory.	1	antonym
6	NASA's two Great Observatories, the Hubble Space Telescope and the Chandra X-ray Observatory, have independently provided what could be the best direct evidence yet for the existence of an event horizon, the defining feature of a black hole.	Hubble discovers black holes.	0	Hubble discovers white holes.	1	antonym
7	Moscow believes that the waters of the Sea of Azov should remain in common use, but Kiev insists on a clear division.	There is a territorial waters dispute.	0	There is a nonterritorial water dispute.	1	antonym
8	Giuliana Sgrena was freed from captivity in Iraq today. The Italian journalist was abducted in Baghdad exactly a month ago while  she had been reporting for Il Manifesto. The Islamic Jihad Organisation had taken her hostage on the 4th February with the demand that Italy withdraw all of its troops from Iraq. On February 16, a video was released with a clearly distraught Mrs Sgrena begging for Italy to withdraw from Iraq. However despite the video, the Italian Senate voted to extend its miltary forces' stay in Iraq.	A female journalist was kidnapped in Iraq.	0	An androgynous journalist was kidnapped in Iraq.	1	antonym
9	A senior coalition official in Iraq said the body, which was found by U.S. military police west of Baghdad, appeared to have been thrown from a vehicle.	A body has been found by U. S. military police.	0	A body has been found by U. S. civilian police.	1	antonym
10	"A jury is slated to decide for the first time whether Jack Kevorkian, famed as ""Dr. Death,"" has violated Michigan's assisted-suicide ban, while the state continues to grapple with the issue of what to allow when the ill want to end their pain by ending their lives."	"Jack Kevorkian is the real name of ""Dr. Death""."	0	"Jack Kevorkian is the insubstantial name of Dr. Death ""."	1	antonym
11	"A jury is slated to decide for the first time whether Jack Kevorkian, famed as ""Dr. Death,"" has violated Michigan's assisted-suicide ban, while the state continues to grapple with the issue of what to allow when the ill want to end their pain by ending their lives."	"Jack Kevorkian is the real name of ""Dr. Death""."	0	"Jack Kevorkian is the unreal name of Dr. Death ""."	1	antonym
12	Swedish massage is used to help relax muscles, increase circulation, remove metabolic waste products, help the recipient obtain a feeling of connectedness, a better awareness of their body and the way they use and position it.	Swedish massage loosens tense muscles.	0	Swedish massage loosens lax muscles.	1	antonym
13	Swedish massage is used to help relax muscles, increase circulation, remove metabolic waste products, help the recipient obtain a feeling of connectedness, a better awareness of their body and the way they use and position it.	Swedish massage loosens tense muscles.	0	Swedish massage loosens relaxed muscles.	1	antonym
14	Moscow believes that the waters of the Sea of Azov should remain in common use, but Kiev insists on a clear division.	There is a territorial waters dispute.	0	There is a extraterritorial water dispute.	1	antonym
15	Security forces were on high alert after an election campaign in which more than 1,000 people, including seven election candidates, have been killed.	Security forces were on high alert after a campaign marred by violence.	0	Security forces were on low alert after a campaign marred by violence.	1	antonym
16	The Cyrillic alphabet is an alphabet used for several East and South Slavic languages; (Belarusian, Bulgarian, Macedonian, Russian, Rusyn, Serbian, and Ukrainian) and many other languages of the former Soviet Union, Asia and Eastern Europe. It has also been used for other languages in the past. Not all letters in the Cyrillic alphabet are used in every language which is written with it.	Cyrillic is an alphabet used for certain Slavic languages, such as Russian.	0	Cyrillic is an alphabet used for uncertain Slavic languages, such as Russian.	1	antonym
17	The Cyrillic alphabet is an alphabet used for several East and South Slavic languages; (Belarusian, Bulgarian, Macedonian, Russian, Rusyn, Serbian, and Ukrainian) and many other languages of the former Soviet Union, Asia and Eastern Europe. It has also been used for other languages in the past. Not all letters in the Cyrillic alphabet are used in every language which is written with it.	Cyrillic is an alphabet used for certain Slavic languages, such as Russian.	0	Cyrillic is an alphabet used for unsure Slavic languages, such as Russian.	1	antonym
18	"A jury is slated to decide for the first time whether Jack Kevorkian, famed as ""Dr. Death,"" has violated Michigan's assisted-suicide ban, while the state continues to grapple with the issue of what to allow when the ill want to end their pain by ending their lives."	"Jack Kevorkian is the real name of ""Dr. Death""."	0	"Jack Kevorkian is the fake name of Dr. Death ""."	1	antonym
19	The Croatian intent is even more problematic because the border between Slovenian and Croatian territorial waters has not yet been established. The dispute about this border began in 1991 when both countries became independent.	There is a territorial waters dispute.	0	There is a extraterritorial water dispute.	1	antonym
20	The job gains mean that  President Bush can celebrate - albeit by a very fine margin - a net growth in jobs in the US economy in his first term in office.	More jobs were created during President Bush's first term.	0	More jobs were created during President Bush's last term.	1	antonym
21	The job gains mean that  President Bush can celebrate - albeit by a very fine margin - a net growth in jobs in the US economy in his first term in office.	More jobs were created during President Bush's first term.	0	More jobs were created during President Bush's second term.	1	antonym
22	The international humanitarian aid organization, Doctors Without Borders/Medecins Sans Frontieres (MSF), continues to treat victims of violence in all locations where it is present in Darfur.	Doctors Without Borders is an international aid organization.	0	Doctors Without Borders is a national aid organization.	1	antonym
23	The Croatian intent is even more problematic because the border between Slovenian and Croatian territorial waters has not yet been established. The dispute about this border began in 1991 when both countries became independent.	There is a territorial waters dispute.	0	There is a nonterritorial water dispute.	1	antonym
