index	premise	hypothesis	label	hypothesis_neg	neg_label	tag
0	An old woman and a young man examine their bingo cards.	An old woman and young man are playing bingo.	0	An old woman and old man are playing bingo.	2	antonym
1	Two women, standing at a fence, are each talking on their cellphones, while two men sitting on the opposite side of the fence are having a conversation.	Two men and two women are outside having conversations.	0	Two men and two women are inside having conversations.	2	antonym
2	An Asian young woman wearing a white shirt and black pants is holding a pink purse.	The woman has a white shirt on.	0	The woman has a black shirt on.	2	antonym
3	An old man in a pink polo looks through a telescope with a small child standing next to him while others stand with their telescopes in the background.	An old man in a pink polo looks through a telescope with a small child standing next to him.	0	A new man in a pink polo looks through a telescope with a small child standing next to him.	2	antonym
4	An old man in a pink polo looks through a telescope with a small child standing next to him while others stand with their telescopes in the background.	An old man in a pink polo looks through a telescope with a small child standing next to him.	0	An old man in a pink polo looks through a telescope with a large child standing next to him.	2	antonym
5	The little boy stands in the middle of birds who have gathered on the sidewalk.	There are a lot of birds outside by the sidewalk.	0	There are a lot of birds inside by the sidewalk.	2	antonym
6	An old man in a pink polo looks through a telescope with a small child standing next to him while others stand with their telescopes in the background.	An old man in a pink polo looks through a telescope with a small child standing next to him.	0	An old man in a pink polo looks through a telescope with a big child standing next to him.	2	antonym
7	Little boy getting soaked playing an outdoor water game.	A little boy is wet outside.	0	A little boy is dry outside.	2	antonym
8	A young boy gets his photo taken with Mr. and Mrs. Clause.	A young boy gets his photo taken.	0	An old boy gets his photo taken.	2	antonym
9	A man in a military uniform is walking away from a line of military vehicles.	A military man is walking away from the line of military vehicles	0	A civilian man is walking away from the line of military vehicles	2	antonym
10	An old man in a pink polo looks through a telescope with a small child standing next to him while others stand with their telescopes in the background.	An old man in a pink polo looks through a telescope with a small child standing next to him.	0	A young man in a pink polo looks through a telescope with a small child standing next to him.	2	antonym
11	A young dark-haired woman with red sun visor holding an open white umbrella amidst a crowd of people	A raven haired woman is seen by the crowd holding a white opened umbrella.	0	A raven haired woman is seen by the crowd holding a black opened umbrella.	2	antonym
12	An older white woman makes cupcakes in her kitchen.	An old woman is in a kitchen.	0	A young woman is in a kitchen.	2	antonym
13	three teenagers wearing t-shirt run down the beach, with several other people in the background.	a number of young people run on a beach	0	A number of old people run on a beach	2	antonym
14	An Asian woman dressed in a colorful outfit laughing.	A woman is wearing colorful clothing.	0	A woman is wearing uncolored clothing.	2	antonym
15	An older woman is looking at herself in the mirror at a table with cosmetics.	the old lady looks into the mirror at the makeup table	0	The young lady looks into the mirror at the makeup table	2	antonym
16	A man holding a picture of a small dog is painting a small dog in near life size on a white canvas.	A man holding a picture of a small dog is painting a small dog in near life size on a white canvas	0	A man holding a picture of a small dog is painting a big dog in near life-size on a white canvas	2	antonym
17	A man holding a picture of a small dog is painting a small dog in near life size on a white canvas.	A man holding a picture of a small dog is painting a small dog in near life size on a white canvas	0	A man holding a picture of a large dog is painting a small dog in near life-size on a white canvas	2	antonym
18	A man holding a picture of a small dog is painting a small dog in near life size on a white canvas.	A man holding a picture of a small dog is painting a small dog in near life size on a white canvas	0	A man holding a picture of a small dog is painting a large dog in near life-size on a white canvas	2	antonym
19	An Asian woman dressed in a colorful outfit laughing.	A woman is wearing colorful clothing.	0	A woman is wearing colorless clothing.	2	antonym
20	A man holding a picture of a small dog is painting a small dog in near life size on a white canvas.	A man holding a picture of a small dog is painting a small dog in near life size on a white canvas	0	A man holding a picture of a big dog is painting a small dog in near life-size on a white canvas	2	antonym
21	A person with brown hair wearing a blue shirt and purple bandanna around their neck is chiseling a design into a round, brick pillar.	The person wearing a blue shirt is chiseling on a brick pillar.	0	The person wearing a red shirt is chiseling on a brick pillar.	2	antonym
22	A blond-haired baby is sitting on the floor playing with toys while looking at a black and white cat.	The baby and the cat are in the same room	0	The baby and the cat are in the different room	2	antonym
23	A man looks at an iPad on a subway, while a beautiful women reads a book.	Two people are occupied with different content.	0	Two people are occupied with same content.	2	antonym
