index	word	sentence1	sentence2	start1	start2	end1	end2	label
0	place	Do you want to come over to my place later?	A political system with no place for the less prominent groups.	31	27	36	32	0
1	approach	Approach a task.	To approach the city.	0	3	8	11	0
2	run	Run rogue.	She ran 10 miles that day.	0	4	3	7	0
3	hold	The general ordered the colonel to hold his position at all costs.	Hold the taxi.	35	0	39	4	1
4	summer	We like to summer in the Mediterranean.	We summered in Kashmir.	11	3	17	11	1
5	head	His horse won by a head.	He is two heads taller than his little sister.	19	10	23	15	1
6	meet	The company agrees to meet the cost of any repairs.	This proposal meets my requirements.	22	14	26	19	1
7	development	The organism has reached a crucial stage in its development.	Our news team brings you the latest developments.	48	36	59	48	0
8	narrowness	The problem with achievement tests is the narrowness they impose on students.	Frustrated by the narrowness of people's horizons.	42	18	52	28	1
9	act	The governor should act on the new energy bill.	Think before you act.	20	17	23	20	1
10	cover	Cover her face with a handkerchief.	Count the cash in the drawer twice just to cover yourself.	0	43	5	48	0
11	port	Port the helm.	Port arms!	0	0	4	4	0
12	fall	Fall into a trap.	She fell to pieces after she lost her work.	0	4	4	8	1
13	finish	The boat had a metallic finish.	He applied a coat of a clear finish.	24	29	30	35	1
14	field	The farmer's field was a civil war battleground, and relics such a minnie bullets were frequently found while plowing.	Field of view.	13	0	18	5	0
15	make	Clothes make the man.	This makes the third infraction.	8	5	12	10	1
16	dress	Dress the windows.	Marlene dressed herself.	0	8	5	15	0
17	strike	Strike a medal.	The boxer struck the attacker dead.	0	10	6	16	0
18	head	Under the head of minor Roman poets.	They tracked him back toward the head of the stream.	10	33	14	37	0
19	flux	It is important to use flux when soldering or oxides on the metal will prevent a good bond.	His opinions are in flux.	23	20	27	24	0
20	hold	He can hold his liquor.	The auditorium can't hold more than 500 people.	7	21	11	25	0
21	line	The line stretched clear around the corner.	You must wait in a long line at the checkout counter.	4	24	8	28	1
22	create	You can create the color orange by mixing yellow and red.	The company was created 25 years ago.	8	16	14	23	1
23	action	The United Nations must have the power to propose and organize action without being hobbled by irrelevant issues.	Recent federal action undermined the segregationist position.	63	15	69	21	1
24	spill	Spill the milk.	The former employee spilled all the details.	0	20	5	27	0
25	beat	Beat one's foot rhythmically.	I beat the traffic.	0	2	4	6	0
26	voice	The voice of the law.	Conservatism has many voices.	4	22	9	28	1
27	hit	Hit a ball.	He hit a home run.	0	3	3	6	0
28	study	He knocked lightly on the closed door of the study.	He is a quick study.	45	14	50	19	0
29	land	It can be tricky to land a helicopter.	Use the net to land the fish.	20	15	24	19	1
30	make	They make a cute couple.	One swallow does not a summer make.	5	30	9	34	1
31	material	She was vice-presidential material.	He was university material.	26	18	34	26	1
32	fatigue	He was suffering from museum fatigue.	The American public is experiencing scandal fatigue.	29	44	36	51	1
33	fish	The shark is a large fish.	In the living room there was a tank of colorful fish.	21	48	25	52	1
34	begin	Begin a new chapter in your life.	Begin a cigar.	0	0	5	5	0
35	solution	The solution took three hours.	They were trying to find a peaceful solution.	4	36	12	44	0
36	space	They stopped at an open space in the jungle.	The astronauts walked in outer space without a tether.	24	31	29	36	0
37	shot	He is still recovering from a shot to his leg.	I caught him with a solid shot to the chin.	30	26	34	30	1
38	subvert	Do school counselors subvert young children?	We must not let our civil liberties be subverted by the current crisis.	21	39	28	48	0
39	academy	A riding academy.	Academies of literature and philology.	9	0	16	9	0
40	catch	Catch fire.	The bucket catches water from the downspout.	0	11	5	18	1
41	stand	Here I stand, wondering what to do next.	There stood on the corner a statue.	7	6	12	11	0
42	pull	Pull the oars.	Pull the trigger of the gun.	0	0	4	4	0
43	spot	A bald spot.	A leopard's spots.	7	12	11	17	1
44	hit	He hit a home run.	He hit .300 in the past season.	3	3	6	6	1
45	point	Point the letter.	The dancers toes pointed outward.	0	17	5	24	0
46	hit	The ball hit the fence.	I hit the jackpot.	9	2	12	5	0
47	light	Follow God's light.	Magoon's governorship in Cuba was viewed in a negative light by many Cuban historians for years thereafter.	13	55	18	60	0
48	wallah	The book wallah.	A kitchen wallah.	9	10	15	16	1
49	region	In the abdominal region.	The temperate regions.	17	14	23	21	0
50	carry	These bonds carry warrants.	This new washer carries a two year guarantee.	12	16	17	23	1
51	raise	Raise the question of promotions.	Raise from the dead.	0	0	5	5	0
52	keep	Keep appointments.	We kept to the original conditions of the contract.	0	3	4	7	1
53	dent	It made a dent in my bank account.	The crash produced a dent in the left side of the car.	10	21	14	25	0
54	make	She may not make the grade.	He made twenty bucks playing poker last night.	12	3	16	7	0
55	voice	After the fire a still small voice. -- 1 Kings 19:12.	The voice of the law.	29	4	34	9	0
56	use	Use the plastic bags to store the food.	We can use this mathematical formula to solve the problem.	0	7	3	10	1
57	cycle	The cycle of the seasons, or of the year.	The never-ending cycle of the seasons.	4	17	9	22	1
58	round	The round of the seasons.	The story is going the rounds in Washington.	4	23	9	29	0
59	roll	Roll out the paper.	The drawer rolled open.	0	11	4	17	0
60	be	I shall be writing to you soon.	3 times 5 is fifteen.	8	10	10	12	1
61	laugh	Paul laughed a cheerful laugh.	She laughed her excitement.	5	4	12	11	1
