premise	hypothesis	label
A choir singing at a baseball game.	This church choir sings to the masses as they sing joyous songs from the book at a church.	2
The woman has been shot.	A woman with a green headscarf, blue shirt and a very big grin.	2
A man walks by an ad.	An old man with a package poses in front of an advertisement.	2
Tons of people are gathered around the statue.	A statue at a museum that no seems to be looking at.	2
A sedan is stuck in the middle of a river.	A land rover is being driven across a river.	2
A man playing banjo on the floor.	A man playing an electric guitar on stage.	2
A man is eating pb and j	A blond-haired doctor and her African american assistant looking threw new medical manuals.	2
A boy runs into a wall	One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.	2
A family is out at a restaurant.	A young family enjoys feeling ocean waves lap at their feet.	2
A couple is sitting on a bench.	A couple walk hand in hand down a street.	2
Three people sit by a busy street bareheaded.	3 young man in hoods standing in the middle of a quiet street facing the camera.	2
The man is climbing a mountain.	A man reads the paper in a bar with green lighting.	2
Three firefighters playing cards inside a fire station.	Three firefighter come out of subway station.	2
A person is burning a straw hat.	A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.	2
The guy in yellow is rolling on the grass	Male in a blue jacket decides to lay in the grass.	2
A man ropes a calf successfully.	During calf roping a cowboy calls off his horse.	2
The boy is sitting on the school bus on his way home.	A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.	2
A woman wearing a sun bonnet planting a garden.	A woman wearing a ball cap squats down to touch the cracked earth.	2
Two children are playing catch at a park.	Two children re laying on a rug with some wooden bricks laid out in a square between them.	2
two girls walk through a hall	A man standing in front of a building on the phone as two men to the side pain on the side.	2
Two girls play dress up indoors.	The two young girls are dressed as fairies, and are playing in the leaves outdoors.	2
People slide over a mountain crevasse on a slide.	People jump over a mountain crevasse on a rope.	2
The lady is cooking dinner	An older women tending to a garden.	2
A man destroys a bike.	A man in a black shirt overlooking bike maintenance.	2
A man is wearing a red shirt	A man in a black shirt is looking at a bike in a workshop.	2
A man waits outside a garage.	A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.	2
Some people stand around.	Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.	2
People run together.	Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.	2
A child wearing a red top is standing on top of a blond headed child	A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.	2
A lady sitting on a bench in the park.	A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.	2
A cat washes his face and whiskers with his front paw.	A dog jumping for a Frisbee in the snow.	2
People are screaming at a boxing match.	People are conversing at a dining table under a canopy.	2
A girl is washing a load of laundry.	A girl playing a violin along with a group of people	2
A man is looking in a telescope.	A woman within an orchestra is playing a violin.	2
three men sleeping in a tent	Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.	2
There are three girls	Three boys in white shirts are walking behind an older model Ford car.	2
There are peeps in the garden.	Three girls blow out the candles of a cake made of Peeps.	2
Three people are climbing down the ladder on the building.	A crowd of people looking up at 3 people on the edge of the roof of a building.	2
A woman is sleeping.	A woman working long hours.	2
Girls talking next to the toilet.	Two teenage girls conversing next to lockers.	2
Two people are sleeping on the train.	An old woman watches a man look down at some balls on the ground.	2
Two kids are running down a highway.	Two children, both wearing tan coats, are embracing one another.	2
Two youths were pushing each other.	2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.	2
A large number of people wearing black walking down the street.	A large number of people wearing only white and red are walking on a street.	2
A man is sitting on a parked motorcycle waiting for his friend.	A guy riding a motorcycle near junk cars	2
dogs sniff the air	Women of India performing with blue streamers, in beautiful blue costumes.	2
The swimmer is eating a toasted marshmallow.	A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.	2
A man is laying on the beach.	The man in the black wetsuit is walking out of the water.	2
The three men sit and talk about their lives.	Five girls and two guys are crossing a overpass.	2
A woman paints a portrait of a monkey.	A person with a purple shirt is painting an image of a woman on a white wall.	2
There is a man tying his shoes.	A woman is painting a mural of a woman's face.	2
A couple is eating inside at a table and he is pointing at something.	A couple is eating outside at a table and he is pointing at something.	2
The women were picking berries in the countryside	Two women walk down a sidewalk along a busy street in a downtown area.	2
The people are sitting in the hotel lobby.	"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE."""	2
A woman is preparing drinks on an airplane.	The flight attendant dressed in yellow demonstrates life vest usage.	2
Girls set down in the street.	The girls walk down the street.	2
a man sitting in a car.	A man wearing a red uniform and helmet stands on his motorbike.	2
The women are at the park.	A man of the cloth puts a black substance on a man's forehead.	2
A person stares at an empty hill.	A person rolls down a hill riding a wagon as another watches.	2
a girl is leaning against the wall	a boy holding onto the wall of an old brick house's raised foundation.	2
The puppies are setting on the couch.	Six dogs swimming in a river.	2
A man and woman have mug shots taken because they have been arrested.	A man and woman are taking a picture of themselves while a woman in a scarf walks by them.	2
No one is dancing.	a group of people dancing together.	2
Men drive the bus into the ocean.	Men wearing blue uniforms sit on a bus.	2
Two women climbing on a wooden scaffold.	Two men climbing on a wooden scaffold.	2
The bird is flying over the trees.	A bird is flapping its wings on the water.	2
A young boy is playing video games indoors.	A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.	2
They are in a boat.	Six or seven people are standing on a pier with a table and a pair of glasses in the foreground.	2
The person is wearing a green shirt.	A person in a red shirt and black pants hunched over.	2
The child is on the school steps.	This child is on the library steps.	2
The man is playing football..	The tattooed basketball player is about to dunk the ball.	2
The boy is upset.	a boy in a red hooded top is smiling whilst looking away from his reflection.	2
The man is wearing a blue cap.	A man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt.	2
An old woman has no jacket.	An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.	2
The couple is divorced.	A newlywed couple laughing and talking amongst themselves.	2
The man is wearing shorts and a t-shirt as he jogs.	A black man in a long sleeves white collared shirt and a tie is walking to work in a big city.	2
several young people are sitting in an auditorium	Several younger people sitting in front of a statue.	2
The child is sleeping.	A group of adults stands in the bathroom looking down a small child in the bath.	2
A woman is reciting poetry on the stage.	A goofy looking woman is singing on stage.	2
A woman is eating pasta in a restaurant.	The girl wearing a brown jacket whilst walking in snow.	2
A family is in their car.	A man, woman, and child get their picture taken in front of the mountains.	2
People are waiting in line at the restaurant.	people are standing near water with a boat heading their direction	2
Two couples play pool in a bar.	Four adults eat while sitting on a tile floor.	2
A cat is laying on the couch.	A dog standing near snow looking at water.	2
A young man is jogging	An older man leans against a pedestal outside of an ornate building.	2
A person is sitting at a baseball game.	A person in orange clothing rests above a metro entrance.	2
the man is asian	A black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement.	2
the man is at home sleeping	A black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement.	2
A man is making a sandwich while a crowd gasps in awe.	A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on.	2
A man is watching a group of people having a hot dog eating contest.	A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.	2
A woman driving a car.	A woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag.	2
A man painting a tree.	A skateboarding youth does a trick on a rail.	2
His bald head is exposed.	A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him.	2
Girl in a black coat stays indoors away from the snow.	Girl in a red coat, blue head wrap and jeans is making a snow angel.	2
The group of friends are asleep.	A group of people gathered at night watching an event.	2
The basketball player shoots a three pointer.	The American footballer in yellow catches the ball whilst under pressure from the payer in white.	2
A person is dancing and singing.	A person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd.	2
The girl is in the bathtub	A girl holding a beverage points at a painting.	2
A woman in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.	A man in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.	2
A person in red is swimming in the Olympics.	A person in a red shirt is mowing the grass with a green riding mower.	2
The driver was wearing a purple shirt.	Group of people wearing black shirts riding in an open top vehicle.	2
Two men are sitting in a canoe with their fishing poles	Two men prepare a fish at a dock.	2
The woman is blind.	A woman with her face partially covered in silver face paint sits on a plastic tote looking in a mirror.	2
The man is wearing a tank top.	A man in an Alaska sweatshirt stands behind a counter.	2
People are eating lunch in a restaurant.	A large group of people walking in a busy city at night.	2
People are outside in a park.	A large group of people walking in a busy city at night.	2
A man is fixing his car.	A woman, in red and white, and wearing glasses, sits in a room with other people.	2
Two softball players are sitting on a bench.	A softball player throws the ball to her teammate.	2
The car is yellow	A biker races.	2
The little boys are crying.	Two little boys are smiling and laughing while one is standing and one is in a bouncy seat.	2
The men did not go to work today but instead played bridge.	Island native fishermen reeling in their nets after a long day's work.	2
The adults are old	These are young adults who seem to be working together to protect the plants surrounding the white pole.	2
Some girls playing basketball.	Two college football players battle it out outdoors on the field during game day, where one is the quarterback trying to throw the ball, and the other player is in action about to sack the quarterback.	2
A pitcher throws the baseball to the batter as he attempts to hit it out of the park.	Two people are playing American Football and one of them is trying to stop the other from throwing the ball.	2
A man is playing checkers.	A man playing billiards at a bar.	2
The dogs are refusing to share.	A golden dog passes a blue ball to another golden dog on the beach.	2
People are taking the elevator.	People are on an escalator waiting to get to their destination while looking outside of the glass that makes up the wall.	2
A woman is sitting with empty hands.	A woman is weaving with a comb in her hand.	2
A single cow is alone.	A boy is riding down the road between two cows.	2
Children are running down the street.	A birthday party for many little people to enjoy.	2
The performers are playing bagpipes.	There are five singers on a stage, three women and two men.	2
Some men are standing on top of a car.	Two men are standing in a boat.	2
Nobody is drying clothes.	Young woman is putting her clothes in the dryer portion of a double stacked washer and dryer unit.	2
The child is riding a swing in the rain.	The sun breaks through the trees as a child rides a swing.	2
The people are watching what is happening.	Everyone on the street in the city seem to be busy doing their own thing.	2
The man is washing his car.	A man in an apron smiles as he pokes a frying donut with a little metal stick.	2
Pete Sampras plays tennis.	A woman in tennis clothes running to hit a ball with her tennis racket.	2
ten boys play cricket	Two women's volleyball teams are competing against each other on a salmon-colored and turquoise court while a referee in black watches.	2
A group of people are changing a bike tire.	A little boy with a blue bike helmet and a woman in a green bike helmet are riding bikes down a street with other various bike riders.	2
A group of friends are grabbing their bikes, getting ready for the morning bike ride	People are riding bicycles in the street, and they are all wearing helmets.	2
An American theater.	A middle eastern marketplace.	2
A woman in green sleeps on a couch.	a woman in a black shirt looking at a bicycle.	2
the men are asleep in the motel	Four men playing drums in very orange lighting while one of them is also drinking something out of a bottle.	2
Young boys throwing a baseball at a baseball field.	Young boys in green and blue jerseys kick around a soccer ball while other soccer games take place in the background.	2
The man is driving a truck.	A man in a one piece tunic is riding a bike in front of a sandstone wall while touching his nose.	2
The people look into the sky.	A guy and a girl look down a mountain range.	2
The man is pacing nervously.	A man is sitting in the green chair, talking on the phone, and working on the laptop, and there is construction site next to his building.	2
A girl is hitting the ball.	A boy hits a tennis ball on a court.	2
A cat nurses puppies	A golden retriever nurses puppies.	2
Someone wearing a cotton shirt was looking at a green hair comb.	A black man wearing a down jacket with his arms spread and holding a pink comb.	2
The man sits crosslegged on the floor.	A man in a brown jacket stands with his arms spread.	2
The man wearing the vest is sitting on the sofa.	A man wearing a red vest is walking past a black and green fence.	2
