index	sentence1	sentence2	sentence2_paraphrase	label
0	AirTran officials and a Boeing official declined to comment yesterday .	Trish York , a spokeswoman for Boeing , declined to comment on the deal .	Boeing spokeswoman Trish York declined to comment on the deal.	0
1	Monday 's attacks Monday were among the deadliest against Americans since Sept . 11 , 2001 .	They were the deadliest terrorist attacks against Americans since September 11 .	They were the most lethal terrorist attacks on Americans since September 11, 2001.	1
2	The victims were last seen at church last Sunday ; their bodies were discovered Tuesday .	The family was last seen July 6 and their bodies were found Tuesday .	The family had not been seen since July 6, and their bodies were discovered on Tuesday.	1
3	Yes , from today Flash memory purchased from AMD or Fujitsu will be branded Spansion .	Spansion Flash memory solutions are available worldwide from AMD and Fujitsu .	AMD and Fujitsu offer Spansion Flash memory solutions worldwide.	0
4	These days , even death penalty proponents in the Legislature say they are solidly outnumbered by opponents .	These days , death-penalty backers in the legislature acknowledge that they are outnumbered .	Death-penalty supporters in the legislature are now aware that they are outnumbered.	1
5	Microsoft has identified the freely distributed Linux software as one of the biggest threats to its sales .	The company has publicly identified Linux as one of its biggest competitive threats .	Linux has been publicly identified as one of the company's most serious competitive threats.	1
6	Monkeypox is usually found only in central and western Africa .	Prairie dogs , usually found in southwestern and western states , aren't indigenous to Wisconsin .	Prairie dogs, which are typically found in the southwestern and western states, are not native to Wisconsin.	0
7	The latest snapshot of the labor markets was slightly better than economists were expecting ; they were forecasting claims to fall no lower than 410,000 for last week .	Despite problems in the job market , the latest snapshot of the labor markets was slightly better than economists were expecting .	Despite job market problems, the most recent snapshot of labor markets was slightly better than economists expected.	0
8	Those reports were denied by the interior minister , Prince Nayef .	However , the Saudi interior minister , Prince Nayef , denied the reports .	The reports, however, were denied by Saudi Interior Minister Prince Nayef.	1
9	Sequent representatives could not immediately be reached for comment on the SCO announcement .	A spokesman for SCO could not be reached for comment this afternoon .	This afternoon, a SCO spokesman could not be reached for comment.	1
10	The Prime Minister , Junichiro Koizumi , joined the criticism .	Prime Minister Junichiro Koizumi said Mr Ota deserved to be criticised .	Mr. Ota, according to Prime Minister Junichiro Koizumi, deserved to be chastised.	1
11	Mr. Turner transferred about 10 million shares to a charitable trust before they were sold .	The sales leave Mr. Turner with about 45 million shares in AOL .	Mr. Turner now owns approximately 45 million shares of AOL as a result of the sales.	0
12	Tennessee officials are setting up relief services and mobile communications in Jackson after power was wiped out in the town .	The state is setting up relief services and mobile communications after power was wiped out in the town .	Following the loss of power in the town, the state is establishing relief services and mobile communications.	1
13	Shiites make up 20 percent of the country 's population .	Sunnis make up 77 percent of Pakistan 's population , Shiites 20 percent .	Sunnis account for 77% of Pakistan's population, while Shiites account for 20%.	0
14	Tony-award winning dancer and actor Gregory Hines died of cancer Saturday in Los Angeles .	Hines died yesterday in Los Angeles of cancer , publicist Allen Eichorn said .	Hines died of cancer yesterday in Los Angeles, according to publicist Allen Eichorn.	1
15	If found guilty , Samudra could be sentenced to death under anti-terror laws passed soon after the bombings .	If found guilty , he could be executed under anti-terror laws passed in the weeks after the bombings .	If found guilty, he could face the death penalty under anti-terror legislation enacted in the weeks after the bombings.	1
16	The Democratic governor said the budget passed by the legislature May 9 would reduce or eliminate services to 5,800 developmentally disabled people .	The governor said budget cuts in mental health care would cut services to 5,800 developmentally disabled Missourians .	The governor stated that budget cuts in mental health care would result in the loss of services for 5,800 developmentally disabled Missourians.	1
17	Its chief executive , Lawrence J. Lasser , resigned under pressure last Monday .	On Monday , Putnam said chief executive Lawrence J. Lasser had resigned .	Putnam announced the resignation of CEO Lawrence J. Lasser on Monday.	1
18	Bond bulls would like the Fed to recognize that risks are biased toward economic weakness .	The Fed also said the risks to the economy were biased toward weakness .	The Fed also stated that the economy's risks were skewed toward weakness.	0
19	It is the first major industrial plant for Leighton as project manager .	It is the first major industrial plant project that Leighton has managed .	Leighton is in charge of his first major industrial plant project.	1
20	LURD 's Ja 'neh also called for an interim government and the deployment of a U.S.-led Western peacekeeping force .	The rebels are also calling for the deployment of a U.S.-led peacekeeping force .	The insurgents are also calling for the deployment of a peacekeeping force led by the United States.	0
21	The company didn 't detail the costs of the replacement and repairs .	But company officials expect the costs of the replacement work to run into the millions of dollars .	However, company officials anticipate that the replacement work will cost millions of dollars.	0
22	A Washington County man may have the countys first human case of West Nile virus , the health department said Friday .	The countys first and only human case of West Nile this year was confirmed by health officials on Sept . 8 .	On September 8, health officials confirmed the county's first and only human case of West Nile this year.	1
23	Ballmer has been vocal in the past warning that Linux is a threat to Microsoft .	In the memo , Ballmer reiterated the open-source threat to Microsoft .	In the memo, Ballmer reiterated Microsoft's vulnerability to open-source software.	0
24	Agriculture Secretary Luis Lorenzo told Reuters there was no damage to the rice crop as harvesting had just finished .	Agriculture Secretary Luis Lorenzo said there was no damage to the vital rice crop as the harvest had ended .	Agriculture Secretary Luis Lorenzo stated that the vital rice crop had not been harmed as the harvest had come to an end.	1
25	Cisco pared spending during the quarter to compensate for sluggish sales .	In response to sluggish sales , Cisco pared spending .	Cisco reduced spending in response to slowing sales.	1
