index	text	text_paraphrase	label
0	Former Tottenham captain Dave Mackay has led the tributes to legendary former Spurs manager Bill Nicholson, who passed away on Saturday aged 85.	Former Tottenham captain Dave Mackay led the tributes to legendary former Tottenham manager Bill Nicholson, who died on Saturday at the age of 85.	1
1	AP - Milwaukee Bucks forward Zendon Hamilton will miss six weeks after undergoing arthroscopic surgery on his right knee.	Zendon Hamilton of the Milwaukee Bucks will be out for six weeks after undergoing arthroscopic surgery on his right knee.	1
2	MADRID: Marat Safin defeated Andre Agassi 6-3, 7-6 yesterday to book a place in the Madrid Masters final against Argentina #39;s David Nalbandian.	MADRID – Marat Safin defeated Andre Agassi 6-3, 7-6 yesterday to advance to the final of the Madrid Masters against Argentina's David Nalbandian.	1
3	Nextel Communications, the nation #39;s fifth-largest wireless provider, said yesterday that its profit jumped 69 percent in the third quarter from the period last year.	Nextel Communications, the country's fifth-largest wireless provider, announced yesterday that its profit increased by 69 percent in the third quarter compared to the same period last year.	2
4	Google is famed for its Web search engine, but over the past few years it has acquired a different role: Microsoft #39;s No. 1 foreign aid donor.	Google is well-known for its Web search engine, but in recent years it has taken on a new role as Microsoft's top foreign aid donor.	3
5	The UN's Global Fund meets African leaders in Tanzania for talks on fighting the world's deadliest diseases.	The United Nations Global Fund meets African leaders in Tanzania to discuss combating the world's deadliest diseases.	0
6	Two of the nation's most well-known companies today said they would combine to form the third-largest U.S. retailer.	Two of the country's most well-known corporations announced today that they will merge to form the third-largest retailer in the United States.	2
7	Surging energy costs drove US consumer prices up by a hefty and larger-than-expected 0.6 percent last month, the biggest jump since May, a government report showed on Wednesday.	Soaring energy prices drove up US consumer prices by a hefty and larger-than-expected 0.6 percent last month, the biggest increase since May, according to a government report released on Wednesday.	2
9	The backlash to anti-American comments by Ryder Cup player Paul Casey has already started - and is likely only to get worse in the coming months.	The backlash against Ryder Cup player Paul Casey's anti-American remarks has already begun, and it is expected to worsen in the coming months.	1
11	US Treasury prices rose on Friday as a potent combination of record high oil prices and slumping stocks kept market participants jittery about the potential for slower growth.	Treasury prices in the United States rose on Friday, as a powerful combination of record high oil prices and falling stocks kept market participants concerned about the possibility of slower growth.	2
12	There are two consolations for disillusioned tennis romantics upset by yesterday #39;s news of the split of Lleyton Hewitt and Kim Clijsters four months before their scheduled marriage.	There are two solaces for tennis lovers who were disappointed by the news that Lleyton Hewitt and Kim Clijsters had split four months before their wedding.	1
14	Stock prices were pummeled by a toxic combination of still-rising oil prices and anxiety surrounding Eliot Spitzer #39;s probe of the insurance industry.	Stock prices were battered by a toxic combination of rising oil prices and concern about Eliot Spitzer's investigation into the insurance industry.	2
15	A coalition of private citizens and local elected officials in New Jersey plan to file a lawsuit to block the state's use of electronic voting machines.	In New Jersey, a coalition of private citizens and local elected officials intends to sue to prevent the state from using electronic voting machines.	3
16	With a raft of new products ready to roll out over the next few years, Ford Motor Co. is setting big growth goals for its long-troubled Lincoln Mercury division.	Ford Motor Company is setting lofty growth targets for its long-struggling Lincoln Mercury division, with a slew of new products set to hit the market in the coming years.	2
17	MIAMI -- Shaquille O #39;Neal swatted away Boris Diaw #39;s lay-up to preserve a 26-point lead, then waved into a nearby television camera the moment he landed on his feet.	MIAMI — Shaquille O'Neal swatted away Boris Diaw's lay-up to keep a 26-point lead, then waved to a nearby television camera as soon as he landed on his feet.	1
18	Tens of thousands of General Motors workers across Europe were set to stop working on Tuesday in a sign of solidarity with their German colleagues, who face massive job cuts.	Tens of thousands of General Motors employees across Europe were scheduled to strike on Tuesday in solidarity with their German counterparts, who face massive job cuts.	2
19	A top North Korean official has flagged the resumption of multilateral talks over the country #39;s efforts to develop nuclear weapons.	A top North Korean official has signalled the resumption of multilateral talks on the country's nuclear-weapons development efforts.	0
20	The Football Association are set to wait until after the conclusion of any disciplinary action against Arsene Wenger before trying to broker a peace summit between Arsenal and Manchester United.	The Football Association intends to wait until any disciplinary action against Arsene Wenger is completed before attempting to mediate a peace summit between Arsenal and Manchester United.	1
