index	premise	hypothesis	label	originated_idx
0	Kids play outside.	Kids eat at a table.	2	9146|9145
1	Two men taking pictures of animals	Women photographing statues	2	8615|8616
2	A man throws rocks at a wall.	A machine takes down architecture as a man sprays water on it.	2	1983|1982
3	A man standing on a boat.	A man next to a tree.	2	6471|6469
4	Four women are walking near the dry highway.	The women are walking on the ice.	2	823|822
5	a lawnmover is being repaired	a tractor is decorated for a parade	2	3762|3761
6	A snowboarder takes a nap on the course.	A skier skis.	2	5727|5725
7	Nobody has a shirt on	A person in a shirt	2	3747|3746
8	A young boy is just sitting down and not sledding.	A boy wearing a goofy hat is sledding by himself.	2	8274|8273
9	Man out for a jog.	Man in relaxed clothing lounging in a chair watching tv	2	2011|2012
10	Young boy sits inside	Young boy plays outside	2	2745|2746
11	Two people are sitting in an alley.	Two people are walking down an alley.	2	8019|8017
12	a man jumps out of a plane	a person sits in a chair in water	2	3905|3907
13	A woman leans against a fence	A man leans against a fence	2	9523|9524
14	The girl tries on the blue dress at the store.	Kid are allowed to attempt the assault course.	2	8820|8819
15	A man is snowboarding.	A man is sitting on a car.	2	4954|4953
16	There is not a cat near the baby.	The baby and the cat are in the same room	2	8348|8347
17	Students are inside of a movie theater	Students are inside of a museum	2	2299|2300
18	Three people sitting by a fire.	Three humans standing.	2	5932|5931
19	The boy is in his room.	A boy is running outside.	2	2269|2270
20	The group is separate from one another.	There's a performance group doing something together.	2	5442|5441
21	A woman is wearing glasses and a white beanie.	A woman is wearing glasses and a brown beanie.	2	9113|9111
22	dog looks at the pond	people make balloons	2	4108|4106
23	A man takes a picture of a woman	a man is with another man	2	819|818
24	A girl is on a bus going to get her groceries	A girl is entertaining on stage	2	9756|9758
25	The boys are sleeping.	The boys are stretching.	2	4827|4825
26	Lots of people are walking by a small red building.	A crowd relaxes in front of a large red building.	2	7889|7891
27	A man takes a nap in the dark room.	A man looks out his window.	2	3314|3313
28	they can all see	there are 3 people with blindfolds	2	1981|1979
29	A child is performing brain surgery.	A young kid is smiling.	2	1811|1812
30	People eat chunks of meat.	People drink a beverage.	2	2070|2071
31	Two men are sitting on the grass next to a car.	Two men are in a car.	2	3131|3130
32	A man is driving a blue vehicle	A man is riding his bike	2	4371|4369
33	People walk through a store.	A car drives on a street.	2	7565|7564
