index	index	label	sentence1	sentence2
0	0	1	"Referring to him as only "" the witness "" , Amrozi accused his brother of deliberately distorting his evidence ."	"Amrozi accused his brother , whom he called "" the witness "" , of deliberately distorting his evidence ."
1	1	0	Yucaipa bought Dominick 's in 1995 for $ 693 million and sold it to Safeway for $ 1.8 billion in 1998 .	Yucaipa owned Dominick 's before selling the chain to Safeway in 1998 for $ 2.5 billion .
2	2	1	On June 10 , the ship 's owners had published an advertisement on the Internet , offering the explosives for sale .	They had published an advertisement on the Internet on June 10 , offering the cargo for sale , he added .
3	3	0	Tab shares jumped 20 cents , or 4.6 % , to set a record closing high at A $ 4.57 .	Around 0335 GMT , Tab shares were up 19 cents , or 4.4 % , at A $ 4.56 , having earlier set a record high of A $ 4.57 .
4	4	1	PG & E Corp. shares jumped $ 1.63 or 8 percent to $ 21.03 on the New York Stock Exchange on Friday .	The stock rose $ 2.11 , or about 11 percent , to close Friday at $ 21.51 on the New York Stock Exchange .
5	5	1	With the scandal hanging over Stewart 's company , revenue the first quarter of the year dropped 15 percent from the same period a year earlier .	Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier .
6	6	0	The tech-laced Nasdaq Composite .IXIC rallied 30.46 points , or 2.04 percent , to 1,520.15 .	The Nasdaq had a weekly gain of 17.27 , or 1.2 percent , closing at 1,520.15 on Friday .
7	7	1	The DVD CCA appealed that decision to the U.S. Supreme Court .	The DVD-CCA then appealed to the state Supreme Court .
8	8	0	Earnings were affected by a non-recurring $ 8 million tax benefit in the year-ago period .	That compared with $ 35.18 million , or 24 cents per share , in the year-ago period .
9	9	0	Shares of Xoma fell 16 percent in early trade , while shares of Genentech , a much larger company with several products on the market , were up 2 percent .	Shares of Genentech , a much larger company with several products on the market , rose more than 2 percent .
10	10	0	Legislation making it harder for consumers to erase their debts in bankruptcy court won speedy , House approval in March and was endorsed by the White House .	Legislation making it harder for consumers to erase their debts in bankruptcy court won overwhelming House approval in March .
11	11	0	The Nasdaq Composite index , full of technology stocks , was lately up around 18 points .	The Nasdaq composite index increased 10.73 , or 0.7 percent , to 1,514.77 .
12	12	1	De Sole said in the results statement that group performance would improve in the second half of the year and beyond .	But he added group performance would improve in the second half of the year and beyond .
13	13	1	""" Saddam 's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools , "" he told The Sun ."	He told The Sun newspaper that Mr. Hussein 's daughters had British schools and hospitals in mind when they decided to ask for asylum .
