index	premise	hypothesis	label	hypothesis_paraphrase
1	A black and brown dog is playing with a brown and white dog.	Two dogs play with a chew toy.	1	Two dogs engage in chewing on a chew toy.
2	An older man holding a sign for tattoos soliciting business on the street.	The man works with a tattoo business.	0	The man works in the tattoo industry.
5	Two oriental older women gathering rice from the fields.	Some Asian women are walking in the field of rice.	1	Some Asian women are walking through a rice field.
6	Two men spar in martial arts gear.	There is only one person present.	2	There is only one person in the room.
7	Two men spar in martial arts gear.	They are wearing all black gear.	1	They're dressed entirely in black.
8	people standing at a beach with Cameras.	People standing at a beach being filmed by cameras.	1	Cameras are filming people standing on a beach.
9	people standing at a beach with Cameras.	A group of people standing at a beach filled with cameras.	1	A group of people standing on a beach, surrounded by cameras.
10	A balding, heavyset man and a dog are resting beside an ornate monument featuring a greenish statue of a man and a woman.	The man is canoeing down a slowly-moving river, enjoying the noonday sun.	2	The man is canoeing down a slow-flowing river, taking in the midday sun.
12	A man in a red shirt is walking towards a blue market stall.	The man wants to purchase some produce.	1	The man wishes to buy some produce.
13	Indy car, white, blue with a red mark on the roof, rounding a turn, in front of the white car.	A driver passing his opponent on the last lap	1	On the final lap, a driver passes his opponent.
14	A young boy sits on the shoulders of a woman, who is carrying a young girl.	A woman is driving her kids around	2	A mother is driving her children around.
15	an Asian woman dances with long ribbons, she is mid jump with her legs pointed to the right and the red ribbons flowing on either side of her	An Asian woman is dancing sexily.	1	An Asian woman is sexily dancing.
16	A young boy in a cowboy hat rides a large horse.	A boy is pretending to be a cowboy.	1	A young boy is dressed as a cowboy.
17	A man wearing his traditional ethnic clothing laughs as he views a show.	A man wearing his traditional ethnic clothing sobs relentlessly as he views a show.	2	As he watches a show, a man dressed in traditional ethnic attire sobs uncontrollably.
18	A man stands on a dock near several boats, while 2 other men are on one of the boats.	A man with brown hair is standing on a dock.	1	A brown-haired man stands on a dock.
19	A man wearing a blue shirt and headphones around his neck raises his arm.	A man is raising his arm to get someones attention.	1	A man raises his arm to attract the attention of someone.
20	A young girl is playing a musical instrument and singing into a microphone.	A talented child sings into a mic and plays an instrument.	0	A gifted child sings and plays an instrument into a microphone.
21	This woman is setting out a vegetable collection for sale in the market.	A woman selling vegetables for extra cash.	1	For extra money, a woman sells vegetables.
22	This woman is setting out a vegetable collection for sale in the market.	A woman in her vegetable market.	0	A lady at her vegetable market.
23	A couple of females are talking to each other while one is flicking her cigarette.	The other likes to smoke as well.	1	The other enjoys smoking as well.
24	A couple of females are talking to each other while one is flicking her cigarette.	One of the females is a smoker.	0	One of the ladies smokes.
25	A black dog is swimming with a ball in his mouth.	The black dog is swimming.	0	The black dog is in the water.
26	A young boy is taking American flags to place them where they will remind others of the sacrifices made by veterans.	A girl is fighting a veteran.	2	A young woman is engaged in combat with a veteran.
28	A young boy is taking American flags to place them where they will remind others of the sacrifices made by veterans.	A young boy is honoring fallen veterans.	0	A young boy pays tribute to fallen veterans.
29	A female acrobat with long, blond curly hair, dangling upside down while suspending herself from long, red ribbons of fabric.	A horse jumps over a fence.	2	A horse leaps over a barbed wire fence.
30	A big dog catches a ball on his nose	A dog is playing with his owner	1	A dog is having fun with his owner.
31	A big dog catches a ball on his nose	A puppy is rolling on the ground	2	A puppy is rolling around on the floor.
32	A big dog catches a ball on his nose	A big dog is sitting down while trying to catch a ball	1	A large dog is sitting and attempting to catch a ball.
33	Two females kneeling and a man sting in a chair looking toward a man in robes on an altar.	The females are robbing a bank.	2	A bank is being robbed by the females.
34	Two females kneeling and a man sting in a chair looking toward a man in robes on an altar.	The man is a Catholic priest.	1	The man is a priest of the Catholic faith.
35	Two little white dogs running.	A few dogs are running to their owner.	1	Several dogs are sprinting to their owners.
36	Women enjoying a game of table tennis.	Women are playing ping pong.	0	Ping pong is being played by women.
40	A young man does tricks on his skateboard.	A youth engages in athleticism.	0	A young person participates in athletics.
