index	label	sentence1	sentence2
0	1	Weapons of Mass Destruction Found in Iraq.	No Weapons of Mass Destruction Found in Iraq Yet.
4	1	Paul Stewart Hutchinson is accused of having stabbed a girl.	A man is due in court later charged with the murder 26 years ago of a teenager whose case was the first to be featured on BBC One's Crimewatch. Colette Aram, 16, was walking to her boyfriend's house in Keyworth, Nottinghamshire, on 30 October 1983 when she disappeared. Her body was later found in a field close to her home. Paul Stewart Hutchinson, 50, has been charged with murder and is due before Nottingham magistrates later.
6	1	Three quarters of U.S. illegal immigrants have children.	Nearly 4 million children who have at least one parent who entered the U.S. illegally were born in the United States and are U.S. citizens as a result, according to the study conducted by the Pew Hispanic Center. That's about three quarters of the estimated 5.5 million children of illegal immigrants inside the United States, according to the study. About 1.8 million children of undocumented immigrants live in poverty, the study found.
7	1	Aristide had Prime Minister Robert Malval  murdered in Port-au-Prince.	Like the United States, U.N. officials are also dismayed that Aristide killed a conference called by Prime Minister Robert Malval in Port-au-Prince in hopes of bringing all the feuding parties together.
13	1	Oil prices rise.	Oil prices fall back as Yukos oil threat lifted
14	1	The quarterback threw for 413 yards and three touchdowns, and then ran to the end zone two more times.	Brian Brohm, the Louisville quarterback, threw for 368 yards and five touchdowns as the Cardinals beat visiting Oregon State 63-27.
16	1	"Sierra once reached the finals of ""American Idol""."	Sierra is likely to remain in jail at the Hillsborough County jail in her native Tampa until her next hearing on December 20, where she is being held without bail, which would prevent her attending the Washington event on Friday even if she still had permission to perform. Sierra has been in jail since the start of the month after an altercation with police officers outside a Tampa nightclub, which she had been ejected from. She is charged with disorderly intoxication and resisting arrest.
17	1	In the early 1990s Brazil began to take action to save the rainforest.	Since 1987, however, Brazil has taken steps to dramatically reduce the destruction, including stepped-up enforcement and the elimination of tax incentives that led to large-scale land clearing.
19	1	Crude the light American lowered to the closing 1.32 dollars, to 42.83 dollars the barrel.	U.S. crude settled $1.32 lower at $42.83 a barrel.
20	1	In 2002 near Stuttgart a boy shot 16 people.	WINNENDEN, Germany ―A teenage gunman killed 15 people, most of them female, on Wednesday in a rampage that began at a school near Stuttgart in southern Germany and ended in a nearby town, where he then killed himself after the police wounded him. The attack left Germany, which tightened tough gun controls after a similar attack at a school seven years ago, struggling to understand the carnage that had again befallen it, a country with relatively little violent crime. In 2002, a gunman killed 16 people before killing himself at a school in Erfurt, in eastern Germany.
21	1	Everglades National Park is located in Florida.	Many hopes are riding on the sale of Talisman's holdings in Palm Beach and Hendry counties, which Vice President Al Gore announced with much fanfare last year at the 50th anniversary of Everglades National Park.
23	1	PM often entered markets with both cigarettes and food.	American tobacco companies were showing a profit most quarters due to export sales of cigarettes and diversification of products sold including food.
27	1	Bacteria is winning the war against antibiotics.	When patients interrupt a course of antibiotics, the surviving bacteria return with a vengeance, often having rapidly mutated to resist the therapy.
32	1	Aspirin prevents gastrointestinal bleeding.	Gastrointestinal bleeding can happen as an adverse effect of non-steroidal anti-inflammatory drugs such as aspirin or ibuprofen.
33	1	Hooper is a citizen of Portland.	A former employee of the company, David Vance of South Portland, said Hooper spent a lot of time on the road, often meeting with customers between Portland and Kittery.
34	1	Cyprus was divided into two parts on May 1.	Cyprus, divided or not, joins the EU on the 1st of May.
35	1	North Korea says it has a stockpile of nuclear weapons and is building more.	World leaders expressed concern on Thursday that North Korea will quit six-party nuclear disarmament talks and will  bolster its nuclear weapons arsenal.
37	1	Mohandas received the Nobel Prize in 1989.	Mohandas Karamchand Gandhi never received the Nobel Peace Prize, though he was nominated for it five times between 1937 and 1948.
