index	passage	question	label	question_paraphrase
2486	Natural gas vehicle -- Worldwide, there were 24.452 million NGVs by 2016, led by China (5.0 million), Iran (4.00 million), India (3.045 million), Pakistan (3.0 million), Argentina (2.295 million), Brazil (1.781 million), and Italy (1.001 million). The Asia-Pacific region leads the world with 6.8 million vehicles, followed by Latin America with 4.2 million. In Latin America, almost 90% of NGVs have bi-fuel engines, allowing these vehicles to run on either gasoline or CNG. In Pakistan, almost every vehicle converted to (or manufactured for) alternative fuel use typically retains the capability of running on gasoline.	are there cars that run on natural gas?	1	Is it possible to buy a car that runs on natural gas?
2015	Minutes -- Usually, one of the first items in an order of business or an agenda for a meeting is the reading and approval of the minutes from the previous meeting. If the members of the group agree (usually by unanimous consent) that the written minutes reflect what happened at the previous meeting, then they are approved, and the fact of their approval is recorded in the minutes of the current meeting. If there are significant errors or omissions, then the minutes may be redrafted and submitted again at a later date. Minor changes may be made immediately using the normal amendment procedures, and the amended minutes may be approved ``as amended''. It is normally appropriate to send a draft copy of the minutes to all the members in advance of the meeting so that the meeting is not delayed by a reading of the draft.	do minutes of a meeting have to be approved?	0	Do meeting minutes have to be approved?
2016	Doctor (title) -- Doctor is an academic title that originates from the Latin word of the same spelling and meaning. The word is originally an agentive noun of the Latin verb docēre (dɔˈkeːrɛ) 'to teach'. It has been used as an academic title in Europe since the 13th century, when the first Doctorates were awarded at the University of Bologna and the University of Paris. Having become established in European universities, this usage spread around the world. Contracted ``Dr'' or ``Dr.'', it is used as a designation for a person who has obtained a Doctorate (e.g. PhD). In many parts of the world it is also used by medical practitioners, regardless of whether or not they hold a doctoral-level degree.	does a phd give you the title dr?	1	"Does a Ph.D. confer the title ""Dr.""?"
2488	The Flash (season 4) -- The fourth season of the American television series The Flash, which is based on the DC Comics character Barry Allen / Flash, premiered on The CW on October 10, 2017, and ran for 23 episodes until May 22, 2018. The season follows a crime scene investigator with superhuman speed who fights criminals, including others who have also gained superhuman abilities. It is set in the Arrowverse, sharing continuity with the other television series of the universe, and is a spin-off of Arrow. The season is produced by Berlanti Productions, Warner Bros. Television, and DC Entertainment, with Andrew Kreisberg and Todd Helbing serving as showrunners.	are they making a season 4 of the flash?	1	Is there going to be a fourth season of The Flash?
2489	United States at the FIFA World Cup -- The United States men's national soccer team has played in several World Cup finals, with their best result occurring during their first appearance at the 1930 World Cup, when the United States finished in third place. After the 1950 World Cup, in which the United States upset England in group play 1--0, the U.S. was absent from the finals until 1990. The United States has participated in every World Cup since 1990 until they failed to qualify for the 2018 competition after a loss to Trinidad and Tobago in 2017.	has usa ever played in the world cup?	1	Has the United States ever competed in a World Cup?
1008	Law of sines -- In trigonometry, the law of sines, sine law, sine formula, or sine rule is an equation relating the lengths of the sides of a triangle (any shape) to the sines of its angles. According to the law,	can law of sines be used on any triangle?	1	Can the sine law be applied to any triangle?
2019	Academy Award for Best Director -- Since its inception, the award has been given to 69 directors or directing teams. John Ford has received the most awards in this category with four. William Wyler was nominated on twelve occasions, more than any other individual. Damien Chazelle became the youngest director in history to receive this award, at the age of 32 for his work on La La Land. Two directing teams have shared the award; Robert Wise and Jerome Robbins for West Side Story in 1961 and Joel and Ethan Coen for No Country for Old Men in 2007. The Coen brothers are the only siblings to have won the award. Kathryn Bigelow is the only woman to have won the award, for 2009's The Hurt Locker. As of the 2018 ceremony, Guillermo del Toro is the most recent winner in this category for his work on The Shape of Water.	has a female director ever won an oscar?	1	Is there a female director who has won an Oscar?
2492	Eye (cyclone) -- The eye is a region of mostly calm weather at the center of strong tropical cyclones. The eye of a storm is a roughly circular area, typically 30--65 km (20--40 miles) in diameter. It is surrounded by the eyewall, a ring of towering thunderstorms where the most severe weather and highest winds occur. The cyclone's lowest barometric pressure occurs in the eye and can be as much as 15 percent lower than the pressure outside the storm.	is the eye of a hurricane low pressure?	1	Is a hurricane's eye low pressure?
1012	Air Force One -- The Air Force usually does not have fighter aircraft escort the presidential aircraft over the United States but it has occurred, for example during the attack on the World Trade Center.	does air force one fly with fighter escort?	0	Is the Air Force One escorted by a fighter?
2020	Superfecundation -- Superfecundation is the fertilization of two or more ova from the same cycle by sperm from separate acts of sexual intercourse, which can lead to twin babies from two separate biological fathers. The term superfecundation is derived from fecund, meaning the ability to produce offspring. Heteropaternal superfecundation refers to the fertilization of two separate ova by two different fathers. Homopaternal superfecundation refers to the fertilization of two separate ova from the same father, leading to fraternal twins. While heteropaternal superfecundation is referred to as a form of atypical twinning, genetically, the twins are half siblings. Superfecundation, while rare, can occur through either separate occurrences of sexual intercourse or through artificial insemination.	can you have twins from 2 different dads?	1	Is it possible to have twins from two different fathers?
